pk_cid,pk_partition,short_term_deposit,loans,mortgage,funds,securities,long_term_deposit,em_account_pp,credit_card,payroll,pension_plan,payroll_account,emc_account,debit_card,em_account_p,em_acount,num_products_contracts,p_cuenta_bancaria,cuentas_sum,p_inversion,inversion_sum,p_financiacion,financiacion_sum,profit_cuentas,profit_inversion,profit_financiacion,country_id,gender,mes_partition,mes_nombre_partition,grupo_edad,median_salary,region_code,entry_date,entry_channel,active_customer,segment,categoria_antiguedad,sale_credit_card,sale_short_term_deposit,sale_loans,sale_mortgage,sale_funds,sale_securities,sale_long_term_deposit,sale_em_account_pp,sale_payroll,sale_pension_plan,sale_payroll_account,sale_emc_account,sale_debit_card,sale_em_account_p,sale_em_acount,probability,cluster_5
1200307,2019-05-28,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,5,1,3,1,1,1,1,30,40,60,ES,V,5,May,Adultos mayores,937306.32,Madrid,2016-10-15,KFC,1,02 - PARTICULARES,2-3 años,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0.9998286,1
330599,2019-05-28,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,7,1,4,1,2,1,1,40,80,60,ES,H,5,May,Adultos mayores,314597.85,Madrid,2016-11-21,KFA,1,02 - PARTICULARES,2-3 años,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0.9997695,1
1136531,2019-05-28,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,5,1,3,1,1,1,1,30,40,60,ES,H,5,May,Adultos jóvenes,236739.84,Madrid,2016-06-06,KAT,1,02 - PARTICULARES,Más de 3 años,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0.9997359,4
1138692,2019-05-28,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,5,1,3,1,1,1,1,30,40,60,ES,V,5,May,Adultos,265487.49,Madrid,2016-06-27,KFC,1,02 - PARTICULARES,2-3 años,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0.9997272,1
1258071,2019-05-28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,60,ES,V,5,May,Adultos,714033.3,Madrid,2017-09-17,KFA,1,02 - PARTICULARES,1-2 años,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.99970824,1
1120077,2019-05-28,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,1,1,20,0,60,ES,V,5,May,Adultos,21071.43,Cuenca,2016-01-31,KFC,1,02 - PARTICULARES,Más de 3 años,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.99967396,0
1126704,2019-05-28,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,5,1,3,1,1,1,1,30,40,60,ES,V,5,May,Adultos jóvenes,121044.78,Cantabria,2016-04-04,KFC,1,02 - PARTICULARES,Más de 3 años,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0.9996544,3
1138522,2019-05-28,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,5,1,3,1,1,1,1,30,40,60,ES,H,5,May,Adultos jóvenes,200296.02,Barcelona,2016-06-26,KFC,1,03 - UNIVERSITARIO,2-3 años,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0.999645,1
325610,2019-05-28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,60,ES,V,5,May,Adultos mayores,268590.51,Madrid,2016-07-22,Otros,1,02 - PARTICULARES,2-3 años,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9996177,1
1140077,2019-05-28,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,5,1,3,1,1,1,1,30,40,60,ES,H,5,May,Adultos jóvenes,69836.4,Madrid,2016-07-08,KFC,1,02 - PARTICULARES,2-3 años,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0.99960154,0
1056630,2019-05-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,10,0,60,ES,V,5,May,Adultos jóvenes,95362.23,Madrid,2015-09-06,KAT,1,02 - PARTICULARES,Más de 3 años,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99955076,3
1075423,2019-05-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,60,ES,H,5,May,Adultos,77371.44,Madrid,2018-04-14,KFA,1,02 - PARTICULARES,1-2 años,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9995183,0
1395591,2019-05-28,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,5,1,3,1,1,1,1,30,40,60,ES,V,5,May,Adultos,69864.42,Lleida,2018-05-06,KHM,1,02 - PARTICULARES,1-2 años,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0.99949324,0
1371167,2019-05-28,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,1,2,1,1,1,1,20,40,60,ES,V,5,May,Jóvenes,96470.97,Madrid,2017-12-22,KHK,1,03 - UNIVERSITARIO,1-2 años,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0.9994493,3
1126797,2019-05-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,60,ES,V,5,May,Adultos jóvenes,70302.54000000001,Madrid,2016-10-04,KAT,1,02 - PARTICULARES,2-3 años,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9994149,0
1031343,2019-05-28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,1,1,20,0,60,ES,V,5,May,Adultos jóvenes,101550.27,Barcelona,2015-07-25,KFC,1,02 - PARTICULARES,Más de 3 años,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.99938726,4
1077895,2019-05-28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,1,1,20,0,60,ES,V,5,May,Adultos jóvenes,189853.44,Granada,2015-10-09,KHE,1,03 - UNIVERSITARIO,Más de 3 años,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.99934477,3
1383262,2019-05-28,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,7,1,5,1,1,1,1,50,40,60,ES,H,5,May,Adultos jóvenes,80464.08,Madrid,2018-02-18,KHK,1,02 - PARTICULARES,1-2 años,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0.9993011,0
1276205,2019-05-28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,1,1,20,0,60,ES,V,5,May,Adultos mayores,121078.83,Ourense,2017-07-24,KHE,1,02 - PARTICULARES,1-2 años,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.9992737,3
1381450,2019-05-28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,1,1,20,0,60,ES,V,5,May,Jóvenes,74706.24,Murcia,2018-02-09,KHK,1,03 - UNIVERSITARIO,1-2 años,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.9992642,0
